Frame,CORI_Roll,CORI_Pitch,CORI_Yaw,IORI_Roll,IORI_Pitch,IORI_Yaw,CORI_Pitch_Half,GRAV_X,GRAV_Y,GRAV_Z,GRAV_Roll,GRAV_Pitch
0,0.98,0.09,-0.68,0.0,-0.08,0.0,0.04,-935,32434,-4560,-178.35,-8.0
1,1.56,0.16,-1.15,0.0,-0.13,0.0,0.08,-933,32475,-4260,-178.35,-7.47
2,1.9,0.18,-0.94,0.0,-0.14,0.0,0.09,-965,32498,-4080,-178.3,-7.15
3,2.11,0.23,0.32,0.0,-0.2,0.0,0.11,-1104,32510,-3941,-178.06,-6.91
4,2.11,0.39,1.85,0.0,-0.38,0.0,0.19,-1336,32503,-3929,-177.65,-6.89
5,2.48,0.57,2.64,0.0,-0.52,0.0,0.28,-1509,32525,-3680,-177.34,-6.45
6,2.99,0.71,2.15,0.0,-0.58,0.0,0.36,-1546,32555,-3383,-177.28,-5.93
7,3.3,0.79,0.95,0.0,-0.55,0.0,0.4,-1490,32576,-3202,-177.38,-5.61
8,3.14,0.66,-0.19,0.0,-0.3,0.0,0.33,-1309,32572,-3322,-177.7,-5.82
9,2.84,0.32,-1.03,0.0,0.06,0.0,0.16,-1038,32561,-3520,-178.17,-6.17
10,2.6,0.1,-1.52,0.0,0.28,0.0,0.05,-860,32552,-3650,-178.49,-6.4
11,2.15,0.09,-1.62,0.0,0.27,0.0,0.04,-845,32522,-3911,-178.51,-6.86
12,1.54,0.02,-1.26,0.0,0.29,0.0,0.01,-841,32476,-4271,-178.52,-7.49
13,1.07,-0.15,-0.84,0.0,0.41,0.0,-0.08,-781,32443,-4525,-178.62,-7.94
14,0.66,-0.46,-0.6,0.0,0.64,0.0,-0.23,-627,32414,-4756,-178.89,-8.35
15,0.37,-0.87,-0.37,0.0,0.94,0.0,-0.43,-412,32394,-4914,-179.27,-8.63
16,0.2,-1.22,-0.3,0.0,1.16,0.0,-0.61,-219,32382,-5003,-179.61,-8.78
17,-0.04,-1.54,-0.47,0.0,1.34,0.0,-0.77,-17,32361,-5141,-179.97,-9.03
18,-0.32,-1.93,-0.38,0.0,1.55,0.0,-0.97,202,32334,-5303,179.64,-9.31
19,-0.62,-2.3,-0.04,0.0,1.73,0.0,-1.15,387,32305,-5469,179.31,-9.61
20,-0.87,-2.65,0.42,0.0,1.88,0.0,-1.33,545,32279,-5609,179.03,-9.86
21,-0.94,-2.99,0.83,0.0,2.0,0.0,-1.49,703,32272,-5630,178.75,-9.89
22,-1.01,-3.21,0.89,0.0,2.0,0.0,-1.61,832,32263,-5663,178.52,-9.95
23,-1.2,-3.33,0.77,0.0,1.9,0.0,-1.66,899,32242,-5772,178.4,-10.15
24,-1.33,-3.57,0.9,0.0,1.94,0.0,-1.79,1035,32224,-5847,178.16,-10.28
25,-1.31,-3.86,1.4,0.0,2.01,0.0,-1.93,1149,32224,-5829,177.96,-10.25
26,-1.32,-4.07,1.86,0.0,2.01,0.0,-2.04,1236,32223,-5812,177.8,-10.22
27,-1.39,-4.16,2.19,0.0,1.9,0.0,-2.08,1253,32217,-5846,177.77,-10.28
28,-1.3,-4.29,2.46,0.0,1.83,0.0,-2.14,1310,32225,-5785,177.67,-10.17
29,-1.08,-4.3,2.54,0.0,1.66,0.0,-2.15,1311,32249,-5651,177.67,-9.93
30,-0.78,-4.21,2.25,0.0,1.41,0.0,-2.11,1285,32280,-5477,177.72,-9.62
31,-0.47,-4.1,1.75,0.0,1.16,0.0,-2.05,1267,32310,-5305,177.75,-9.32
32,-0.11,-3.91,1.18,0.0,0.87,0.0,-1.95,1211,32344,-5104,177.86,-8.96
33,0.24,-3.59,0.48,0.0,0.49,0.0,-1.79,1097,32377,-4917,178.06,-8.63
34,0.52,-3.18,-0.12,0.0,0.08,0.0,-1.59,919,32405,-4768,178.38,-8.37
35,0.75,-2.69,-0.62,0.0,-0.36,0.0,-1.34,693,32429,-4643,178.78,-8.15
36,0.98,-2.1,-1.14,0.0,-0.85,0.0,-1.05,403,32453,-4504,179.29,-7.9
37,0.96,-1.56,-1.52,0.0,-1.24,0.0,-0.78,132,32452,-4532,179.77,-7.95
38,0.97,-1.01,-1.86,0.0,-1.61,0.0,-0.5,-151,32452,-4531,-179.73,-7.95
39,1.13,-0.49,-2.2,0.0,-1.91,0.0,-0.25,-421,32463,-4431,-179.26,-7.77
40,1.16,-0.21,-2.64,0.0,-1.96,0.0,-0.11,-553,32461,-4433,-179.02,-7.78
41,1.44,-0.59,-3.15,0.0,-1.42,0.0,-0.29,-338,32484,-4281,-179.4,-7.51
42,2.1,-2.39,-3.21,0.0,0.34,0.0,-1.2,663,32524,-3924,178.83,-6.88
43,3.05,-6.31,-2.54,0.0,3.82,0.0,-3.16,2744,32476,-3385,175.17,-5.93
44,3.8,-13.39,-0.6,0.0,9.71,0.0,-6.7,6521,31975,-2951,168.47,-5.17
45,2.82,-23.22,3.22,0.0,17.35,0.0,-11.61,11596,30449,-3475,159.15,-6.09
46,-0.25,-33.45,6.78,0.0,20.0,0.0,-16.73,16527,27839,-5051,149.3,-8.87
47,-3.26,-43.2,7.02,0.0,20.0,0.0,-21.6,21008,24334,-6338,139.2,-11.15
48,-4.55,-52.04,4.11,0.0,20.0,0.0,-26.02,24723,20451,-6647,129.6,-11.7
49,-4.59,-59.08,0.04,0.0,20.0,0.0,-29.54,27300,16941,-6430,121.82,-11.32
50,-5.6,-63.91,-2.86,0.0,20.0,0.0,-31.96,28791,14224,-6511,116.29,-11.46
51,-7.69,-66.7,-4.03,0.0,20.0,0.0,-33.35,29503,12486,-6881,112.94,-12.12
52,-7.79,-68.41,-4.91,0.0,19.48,0.0,-34.2,29907,11531,-6802,111.08,-11.98
53,-4.31,-69.43,-7.51,0.0,18.36,0.0,-34.72,30209,11170,-6026,110.29,-10.6
54,0.85,-69.56,-11.19,0.0,16.59,0.0,-34.78,30354,11284,-5001,110.39,-8.78
55,5.96,-68.64,-14.7,0.0,14.17,0.0,-34.32,30287,11862,-3952,111.39,-6.93
56,10.85,-66.51,-18.25,0.0,11.01,0.0,-33.26,29970,12964,-2721,113.39,-4.76
57,14.34,-63.29,-20.3,0.0,7.23,0.0,-31.64,29328,14534,-1512,116.36,-2.64
58,15.23,-58.42,-19.63,0.0,2.18,0.0,-29.21,28040,16941,-637,121.14,-1.11
59,14.42,-50.94,-17.23,0.0,-4.87,0.0,-25.47,25579,20479,-40,128.68,-0.07
60,14.12,-39.76,-14.34,0.0,-14.6,0.0,-19.88,21067,25075,1065,139.96,1.86
61,12.37,-24.7,-10.24,0.0,-20.0,0.0,-12.35,13580,29794,1244,155.5,2.18
62,11.44,-7.9,-6.18,0.0,-20.0,0.0,-3.95,4075,32485,1337,172.85,2.34
63,11.44,7.8,-1.43,0.0,-20.0,0.0,3.9,-5254,32314,1356,-170.76,2.37
64,11.76,20.91,2.73,0.0,-20.0,0.0,10.45,-12683,30189,1206,-157.21,2.11
65,11.14,32.52,4.61,0.0,-20.0,0.0,16.26,-18530,27022,276,-145.56,0.48
66,9.26,43.48,5.38,0.0,-20.0,0.0,21.74,-23339,22964,-1256,-134.54,-2.2
67,6.25,52.12,3.1,0.0,-20.0,0.0,26.06,-26344,19265,-2915,-126.18,-5.1
68,2.1,57.63,-1.37,0.0,-20.0,0.0,28.82,-27792,16755,-4527,-121.08,-7.94
69,0.23,61.47,-3.87,0.0,-20.0,0.0,30.73,-28735,14902,-5081,-117.41,-8.92
70,-0.38,64.08,-4.89,0.0,-20.0,0.0,32.04,-29364,13572,-5213,-114.81,-9.15
71,-1.61,64.61,-6.17,0.0,-18.48,0.0,32.31,-29429,13299,-5538,-114.32,-9.73
72,-1.36,63.58,-5.54,0.0,-15.69,0.0,31.79,-29200,13816,-5486,-115.32,-9.64
73,0.09,61.94,-3.6,0.0,-12.64,0.0,30.97,-28862,14651,-5093,-116.91,-8.94
74,1.23,60.49,-1.75,0.0,-10.09,0.0,30.25,-28566,15323,-4774,-118.21,-8.38
75,2.44,59.26,0.09,0.0,-8.0,0.0,29.63,-28321,15881,-4400,-119.28,-7.72
76,3.77,57.81,1.82,0.0,-5.94,0.0,28.9,-28000,16550,-3966,-120.59,-6.95
77,5.59,55.64,3.64,0.0,-3.46,0.0,27.82,-27464,17558,-3321,-122.59,-5.82
